"ID","ADU","TAXON CONCEPT ID","SCIENTIFIC NAME"
277,1302,avibase-25C94A8F,Aythya marila
278,1304,avibase-7CF91527,Aythya nyroca
279,2960,avibase-C6833BA9,Baeopogon clamans
280,1113,avibase-E6A0D208,Baeopogon indicator
281,1030,avibase-47C7FDFD,Balaeniceps rex
282,1918,avibase-31413BFF,Balearica pavonina
283,214,avibase-D10CAC5D,Balearica regulorum
284,14238,avibase-F50F4ACE,Basileuterus delattrii
285,3244,avibase-8EDC9B24,Bathmocercus cerviniventris
286,1114,avibase-438D0DFF,Bathmocercus rufus
287,672,avibase-9E17E8D0,Batis capensis
288,2312,avibase-B8BAD214,Batis diops
289,2310,avibase-DF7C8FC5,Batis erlangeri
290,676,avibase-B9669030,Batis fratrum
291,2314,avibase-45C905C5,Batis ituriensis
292,2316,avibase-5D9428D8,Batis margaritae
293,2318,avibase-43F4D13C,Batis minima
294,2320,avibase-90D0D245,Batis minor
295,2322,avibase-F254EE2D,Batis minulla
296,683,avibase-CDC8A3E6,Batis mixta
297,673,avibase-C5C38D98,Batis molitor
298,2324,avibase-A6DFFC15,Batis orientalis
299,2326,avibase-5C9DDB02,Batis perkeo
300,2328,avibase-0718A157,Batis poensis
301,674,avibase-982B2C3A,Batis pririt
302,2308,avibase-90A3BA20,Batis reichenowi
303,2330,avibase-66B40819,Batis senegalensis
304,675,avibase-5A58B69A,Batis soror
305,667,avibase-F1A4B955,Bias musicus
306,2962,avibase-D4B9EE90,Bleda canicapillus
307,2964,avibase-68043A88,Bleda eximius
308,2966,avibase-4F97BFE1,Bleda notatus
309,1191,avibase-5A94FEAE,Bleda syndactylus
310,2968,avibase-1D9175EA,Bleda ugandae
311,716,avibase-7DCA1C1E,Bocagia minuta
312,2198,avibase-8B771A3B,Bostrychia bocagei
313,2200,avibase-AC5B7A01,Bostrychia carunculata
314,84,avibase-CAFBA217,Bostrychia hagedash
315,2202,avibase-23ACB56E,Bostrychia olivacea
316,2204,avibase-44E9A521,Bostrychia rara
317,71,avibase-0F42F11A,Botaurus stellaris
318,3716,avibase-D76AC221,Brachycope anomala
319,1540,avibase-E86394DA,Brachypteracias leptosomus
320,3246,avibase-A630DB2C,Bradypterus alfredi
321,609,avibase-ED9EE880,Bradypterus baboecala
322,1115,avibase-AD3FBCA9,Bradypterus bangwaensis
323,610,avibase-6A8A9135,Bradypterus barratti
324,3258,avibase-D9721DB9,Bradypterus brunneus
325,1064,avibase-8CA1A851,Bradypterus carpalis
326,1107,avibase-523913AE,Bradypterus cinnamomeus
327,3248,avibase-4761DFE7,Bradypterus grandis
328,3250,avibase-1DC48058,Bradypterus graueri
329,652,avibase-8160D091,Bradypterus lopezi
330,611,avibase-D4F0437E,Bradypterus sylvaticus
331,1306,avibase-3E04020B,Branta bernicla
332,1308,avibase-3163ED86,Branta leucopsis
333,1310,avibase-0D280B3F,Branta ruficollis
334,3734,avibase-50BF77FB,Brunhilda charmosyna
335,841,avibase-842FF43C,Brunhilda erythronotos
336,3718,avibase-864D4A4F,Bubalornis albirostris
337,779,avibase-9EB53638,Bubalornis niger
338,368,avibase-DC8CC91D,Bubo africanus
339,1748,avibase-9FD4D3D9,Bubo ascalaphus
340,1752,avibase-5516AEB3,Bubo bubo
341,367,avibase-3CD0F535,Bubo capensis
342,1754,avibase-0018A99B,Bubo cinerascens
343,369,avibase-EBD3129B,Bubo lacteus
344,1756,avibase-B55D5658,Bubo leucostictus
345,1758,avibase-733CBE2A,Bubo poensis
346,1760,avibase-AFF21113,Bubo shelleyi
347,1750,avibase-2EB9470D,Bubo poensis vosseleri
348,61,avibase-AB1CB216,Bubulcus ibis
349,4064,avibase-8049F707,Bucanetes githagineus
350,1414,avibase-56790B57,Buccanodon duchaillui
351,1312,avibase-68EA281A,Bucephala clangula
352,1510,avibase-948ED65C,Bucorvus abyssinicus
353,430,avibase-4192DE77,Bucorvus leadbeateri
354,994,avibase-058773E4,Bulweria bulwerii
355,1011,avibase-F501ED18,Bulweria fallax
356,747,avibase-5D970425,Buphagus africanus
357,748,avibase-7471E71D,Buphagus erythrorynchus
358,275,avibase-862F6F04,Burhinus capensis
359,1998,avibase-C7DB323E,Burhinus oedicnemus
360,2000,avibase-85DF723B,Burhinus senegalensis
361,274,avibase-96CCAFEE,Burhinus vermiculatus
362,2100,avibase-45A1D850,Butastur rufipennis
363,153,avibase-D41EDD2E,Buteo augur
364,2104,avibase-A16C3B99,Buteo auguralis
365,2106,avibase-5AA3C196,Buteo bannermani
366,2108,avibase-5CA7B50A,Buteo brachypterus
367,154,avibase-3C6D4915,Buteo buteo
368,2110,avibase-90B13ACF,Buteo lagopus
369,2112,avibase-5BFEFD9A,Buteo oreophilus
370,979,avibase-CC65921F,Buteo rufinus
371,152,avibase-22031845,Buteo rufofuscus
